Width: 0.580, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.580, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.740, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 0.900, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.061, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.221, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.381, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.541, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.701, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 1.861, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.021, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.181, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.341, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.501, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 0.737, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 0.974, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 1.211, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 1.447, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 1.684, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 1.921, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 2.158, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 2.395, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 2.632, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 2.868, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 3.105, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 3.342, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 3.579, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 3.816, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 4.053, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 4.289, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 4.526, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 4.763, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.661, Amp: 5.000, InitialMaxPos: 0, FinalMaxPos: 64
Width: 2.821, Amp: 0.500, InitialMaxPos: 0, FinalMaxPos: 64
